	N152	IAVI84
IGHV1-2*02	NA	83829.0
IGHV3-21*02	44821.0	NA
IGHV1-18*01	NA	39026.0
IGHV3-23D*01	53867.0	2.0
IGHV1-8*02	NA	25852.0
IGHV3-74*03	25728.0	NA
IGHV3-74*01	14097.0	NA
IGHV3-53*02	13833.0	NA
IGHV3-48*04	13582.0	NA
IGHV3-30-3*03	13069.0	NA
IGHV3-66*01	12663.0	NA
IGHV1-69*10	NA	12386.0
IGHV4-34*02	24177.0	93.0
IGHV1-69*13	1.0	21720.0
IGHV3-20*01	10588.0	NA
IGHV4-59*01	19415.0	213.0
IGHV3-33*01	9741.0	NA
IGHV3-11*05	8685.0	NA
IGHV4-34*01	15093.0	201.0
IGHV3-48*01	7525.0	NA
IGHV4-31*03	14829.0	106.0
IGHV1-24*01	NA	7400.0
IGHV3-49*04	7241.0	NA
IGHV1-69D*01	8.0	14376.0
IGHV1-46*01	NA	7006.0
IGHV3-73*01	6884.0	NA
IGHV3-13*04	6593.0	NA
IGHV3-23D*02	6514.0	NA
IGHV3-7*01	6453.0	NA
IGHV3-15*01	12638.0	3.0
IGHV3-15*02	6044.0	NA
IGHV4-4*02	5821.0	NA
IGHV4-61*02	5801.0	NA
IGHV4-39*01	10717.0	9.0
IGHV3-43*02	5306.0	NA
IGHV3-64D*06	4469.0	NA
IGHV3-66*04	4450.0	NA
IGHV1-69-2*01	NA	4317.0
IGHV3-64*01	4265.0	NA
IGHV3-7*02	4052.0	NA
IGHV1-46*03	NA	4029.0
IGHV3-9*01	3463.0	NA
IGHV1-8*01	NA	3449.0
IGHV3-33*06	3424.0	NA
IGHV4-59*03	5569.0	3.0
IGHV3-11*04	2681.0	NA
IGHV3-48*02	2619.0	NA
IGHV4-61*01	2618.0	NA
IGHV1-58*02	NA	2527.0
IGHV4-38-2*01	4363.0	387.0
IGHV3-21*04	2334.0	NA
IGHV1-69*14	3.0	4316.0
IGHV3-15*05	2013.0	NA
IGHV4-59*08	3748.0	170.0
IGHV1-18*04	NA	1881.0
IGHV3-9*03	1845.0	NA
IGHV3-72*01	1733.0	NA
IGHV1-2*04	NA	1669.0
IGHV3-43D*01	1576.0	NA
IGHV4-34*12	2899.0	46.0
IGHV4-38-2*02	2616.0	53.0
IGHV4-4*07	2444.0	121.0
IGHV3-33*05	1208.0	NA
IGHV3-33*03	1130.0	NA
IGHV4-39*02	2217.0	3.0
IGHV3-43*01	1082.0	NA
IGHV4-31*02	2108.0	4.0
IGHV3-48*03	1043.0	NA
IGHV4-61*08	1928.0	3.0
IGHV4-59*02	1889.0	17.0
IGHV4/OR15-8*02	912.0	NA
IGHV3-33*04	799.0	NA
IGHV3-15*04	778.0	NA
IGHV1-46*02	NA	772.0
IGHV4-61*03	710.0	NA
IGHV3-74*02	674.0	NA
IGHV3-30*14	611.0	NA
IGHV3-73*02	583.0	NA
IGHV3-15*06	541.0	NA
IGHV3-23*05	540.0	NA
IGHV4-34*10	513.0	NA
IGHV3-30*19	505.0	NA
IGHV1-2*05	NA	387.0
IGHV3-7*03	372.0	NA
IGHV4-34*04	718.0	7.0
IGHV1-18*03	NA	356.0
IGHV3-64*02	337.0	NA
IGHV3-21*03	335.0	NA
IGHV4-59*07	609.0	11.0
IGHV1-69*11	1.0	604.0
IGHV3-30*03	301.0	NA
IGHV3-69-1*02	279.0	NA
IGHV3-15*07	278.0	NA
IGHV3-30-3*01	276.0	NA
IGHV1-69*12	NA	238.0
IGHV3-52*01	234.0	NA
IGHV3-30-5*01	216.0	NA
IGHV3-53*01	199.0	NA
IGHV3-23*03	197.0	NA
IGHV1-2*03	NA	192.0
IGHV4-31*04	373.0	1.0
IGHV3-23*02	184.0	NA
IGHV3-30*09	178.0	NA
IGHV4-59*04	350.0	1.0
IGHV1-58*01	NA	152.0
IGHV4-39*07	280.0	12.0
IGHV3-21*01	121.0	NA
IGHV4-30-4*01	141.0	87.0
IGHV4-31*08	112.0	NA
IGHV3-11*06	107.0	NA
IGHV4-28*01	104.0	NA
IGHV1/OR15-1*04	NA	99.0
IGHV4-4*08	191.0	1.0
IGHV3-49*02	84.0	NA
IGHV1-69*05	NA	75.0
IGHV3-11*01	71.0	NA
IGHV3-20*02	65.0	NA
IGHV1-3*02	NA	63.0
IGHV3-49*05	58.0	NA
IGHV4-61*05	57.0	NA
IGHV4-59*05	52.0	NA
IGHV4-34*07	51.0	NA
IGHV4-28*03	47.0	NA
IGHV3-13*01	38.0	NA
IGHV4-59*06	38.0	NA
IGHV3-30*01	38.0	NA
IGHV4-34*11	38.0	NA
IGHV1-38-4*01	NA	37.0
IGHV3/OR16-8*01	36.0	NA
IGHV4-34*06	69.0	2.0
IGHV3-13*05	35.0	NA
IGHV4-34*08	65.0	1.0
IGHV3-64*04	32.0	NA
IGHV3-33*02	32.0	NA
IGHV4-34*03	30.0	NA
IGHV4/OR15-8*01	28.0	NA
IGHV4-39*03	28.0	NA
IGHV1/OR15-4*01	NA	26.0
IGHV4-34*09	24.0	NA
IGHV3-13*03	24.0	NA
IGHV3-49*03	24.0	NA
IGHV3-69-1*01	24.0	NA
IGHV3-NL1*01	24.0	NA
IGHV3-22*02	19.0	NA
IGHV4-59*10	19.0	NA
IGHV4-28*05	17.0	NA
IGHV3-30-5*02	30.0	4.0
IGHV3-66*03	16.0	NA
IGHV1-69*08	NA	16.0
IGHV3-11*03	15.0	NA
IGHV4-28*07	26.0	1.0
IGHV1/OR15-2*02	NA	13.0
IGHV3-30*15	13.0	NA
IGHV4-31*09	11.0	NA
IGHV1-69*09	NA	11.0
IGHV3-71*01	11.0	NA
IGHV1-45*02	NA	10.0
IGHV3-30-3*02	10.0	NA
IGHV3-30*17	10.0	NA
IGHV3-66*02	8.0	NA
IGHV4-34*05	8.0	NA
IGHV3-71*02	8.0	NA
IGHV3-30*07	8.0	NA
IGHV3-71*03	8.0	NA
IGHV3-35*01	6.0	NA
IGHV3-30*10	6.0	NA
IGHV4-30-4*03	6.0	NA
IGHV3-49*01	5.0	NA
IGHV4-39*05	4.0	NA
IGHV3-53*04	4.0	NA
IGHV1/OR21-1*01	NA	4.0
IGHV4-31*06	6.0	1.0
IGHV3-38-3*01	6.0	1.0
IGHV3-30*16	3.0	NA
IGHV4-61*06	3.0	NA
IGHV3-30*06	3.0	NA
IGHV4-30-2*03	2.0	NA
IGHV5-51*03	2.0	NA
IGHV4-28*06	2.0	NA
IGHV3-30*13	2.0	NA
IGHV4-61*07	2.0	NA
IGHV4-34*13	2.0	NA
IGHV3-9*02	2.0	NA
IGHV4-31*05	3.0	1.0
IGHV4/OR15-8*03	1.0	NA
IGHV1-18*02	NA	1.0
IGHV1-2*01	NA	1.0
IGHV5-51*01	1.0	NA
IGHV3-53*03	1.0	NA
IGHV4-61*04	1.0	NA
IGHV4-55*07	1.0	NA
IGHV4-55*01	1.0	NA
IGHV4-4*04	1.0	NA
IGHV4-4*03	1.0	NA
IGHV1/OR15-1*02	NA	1.0
IGHV4-31*07	1.0	NA
IGHV4-30-4*07	1.0	NA
IGHV3/OR16-8*02	1.0	NA
IGHV3-52*03	1.0	NA
IGHV7-34-1*01	NA	1.0
